Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
195,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19.0,2003.0,15.3,694.0,817.0,84.9,9879.0,2231.0,430.0,473.0,90.9,229.0,264.0,86.7,22.0,42.0,52.4,1.0,1.2,1.5,-0.2,13.0,26.0,20.0,7.0,41.0,Matches
196,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,30.0,1993.0,10.8,291.0,397.0,73.3,4602.0,1810.0,169.0,191.0,88.5,100.0,124.0,80.6,18.0,52.0,34.6,1.0,0.8,0.6,+0.2,7.0,18.0,11.0,4.0,31.0,Matches
197,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,19.0,2004.0,14.7,713.0,775.0,92.0,10618.0,2185.0,402.0,429.0,93.7,267.0,278.0,96.0,24.0,30.0,80.0,0.0,0.3,0.3,-0.3,8.0,38.0,3.0,0.0,50.0,Matches
198,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,19.0,2004.0,0.7,39.0,45.0,86.7,627.0,100.0,20.0,22.0,90.9,12.0,13.0,92.3,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,Matches
199,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,24.0,1999.0,25.2,1402.0,1628.0,86.1,26569.0,9543.0,520.0,562.0,92.5,678.0,753.0,90.0,169.0,260.0,65.0,0.0,0.2,0.5,-0.2,5.0,115.0,3.0,0.0,122.0,Matches
200,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,31.0,1992.0,31.9,1116.0,1487.0,75.1,18841.0,8333.0,553.0,626.0,88.3,443.0,566.0,78.3,97.0,206.0,47.1,1.0,2.6,2.3,-1.6,24.0,77.0,18.0,10.0,98.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
201,Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,eng Premier League,26.0,1997.0,0.8,56.0,78.0,71.8,1002.0,224.0,23.0,30.0,76.7,26.0,33.0,78.8,6.0,8.0,75.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Matches
202,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,22.0,2001.0,18.8,263.0,365.0,72.1,3304.0,588.0,150.0,187.0,80.2,73.0,98.0,74.5,5.0,16.0,31.3,5.0,3.3,1.9,+1.7,26.0,20.0,11.0,0.0,30.0,Matches
203,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,es La Liga,27.0,1996.0,22.0,590.0,769.0,76.7,7575.0,2148.0,397.0,455.0,87.3,138.0,190.0,72.6,20.0,36.0,55.6,2.0,4.7,3.7,-2.7,38.0,38.0,33.0,10.0,80.0,Matches
204,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,21.0,2001.0,12.6,185.0,256.0,72.3,2456.0,373.0,96.0,129.0,74.4,69.0,88.0,78.4,3.0,4.0,75.0,3.0,2.1,1.2,+0.9,14.0,8.0,10.0,0.0,16.0,Matches
205,Samuel Bamba,de GER,FW,Dortmund,de Bundesliga,19.0,2004.0,0.5,14.0,20.0,70.0,207.0,42.0,11.0,12.0,91.7,1.0,2.0,50.0,2.0,4.0,50.0,0.0,0.1,0.1,-0.1,1.0,0.0,1.0,0.0,2.0,Matches
206,Lameck Banda,zm ZAM,FW,Lecce,it Serie A,22.0,2001.0,15.0,250.0,342.0,73.1,3877.0,745.0,137.0,160.0,85.6,88.0,113.0,77.9,15.0,41.0,36.6,4.0,1.9,1.2,+2.1,24.0,12.0,17.0,9.0,22.0,Matches
207,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,23.0,2000.0,5.0,187.0,233.0,80.3,3306.0,1112.0,82.0,93.0,88.2,77.0,91.0,84.6,22.0,36.0,61.1,0.0,0.2,0.3,-0.2,3.0,30.0,5.0,0.0,34.0,Matches
208,Mamady Bangré,bf BFA,"FW,MF",Toulouse,fr Ligue 1,22.0,2001.0,1.1,59.0,74.0,79.7,791.0,234.0,27.0,32.0,84.4,21.0,26.0,80.8,2.0,4.0,50.0,1.0,0.7,0.6,+0.3,6.0,2.0,5.0,2.0,9.0,Matches
209,Mattia Bani,it ITA,DF,Genoa,it Serie A,29.0,1993.0,25.6,962.0,1152.0,83.5,18643.0,6794.0,325.0,356.0,91.3,533.0,586.0,91.0,95.0,181.0,52.5,0.0,0.1,0.1,-0.1,2.0,36.0,1.0,0.0,37.0,Matches
210,Léo Baptistão,br BRA,FW,Almería,es La Liga,30.0,1992.0,20.4,366.0,568.0,64.4,5127.0,1333.0,217.0,297.0,73.1,104.0,157.0,66.2,23.0,49.0,46.9,0.0,1.8,1.0,-1.8,19.0,21.0,8.0,2.0,45.0,Matches
211,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,25.0,1998.0,2.5,66.0,90.0,73.3,1144.0,351.0,33.0,39.0,84.6,25.0,28.0,89.3,7.0,15.0,46.7,1.0,0.2,0.4,+0.8,4.0,7.0,3.0,2.0,5.0,Matches
212,Antonín Barák,cz CZE,"MF,FW",Fiorentina,it Serie A,28.0,1994.0,9.0,338.0,392.0,86.2,5238.0,1035.0,191.0,208.0,91.8,115.0,133.0,86.5,22.0,25.0,88.0,3.0,2.2,1.5,+0.8,14.0,30.0,9.0,3.0,33.0,Matches
213,Valentín Barco,ar ARG,"DF,FW",Brighton,eng Premier League,19.0,2004.0,3.4,179.0,233.0,76.8,2509.0,864.0,120.0,131.0,91.6,47.0,64.0,73.4,7.0,23.0,30.4,0.0,0.2,0.4,-0.2,4.0,10.0,3.0,0.0,14.0,Matches
214,Bradley Barcola,fr FRA,FW,Lyon,fr Ligue 1,20.0,2002.0,3.0,70.0,90.0,77.8,946.0,275.0,50.0,60.0,83.3,18.0,21.0,85.7,2.0,4.0,50.0,0.0,0.3,0.4,-0.3,4.0,5.0,3.0,0.0,9.0,Matches
215,Bradley Barcola,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,20.0,2002.0,15.2,436.0,562.0,77.6,6173.0,1516.0,281.0,339.0,82.9,135.0,170.0,79.4,10.0,23.0,43.5,7.0,5.2,4.2,+1.8,29.0,26.0,19.0,1.0,56.0,Matches
216,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,22.0,2000.0,29.5,1457.0,1784.0,81.7,23609.0,6956.0,719.0,805.0,89.3,607.0,702.0,86.5,86.0,192.0,44.8,2.0,2.8,2.3,-0.8,18.0,77.0,26.0,14.0,111.0,Matches
217,Nicolò Barella,it ITA,MF,Inter,it Serie A,26.0,1997.0,31.6,1835.0,2168.0,84.6,30143.0,9590.0,958.0,1045.0,91.7,678.0,762.0,89.0,155.0,246.0,63.0,3.0,3.4,4.5,-0.4,42.0,212.0,78.0,11.0,278.0,Matches
218,Kike Barja,es ESP,"FW,MF",Osasuna,es La Liga,26.0,1997.0,3.4,83.0,114.0,72.8,1232.0,240.0,44.0,50.0,88.0,24.0,34.0,70.6,8.0,17.0,47.1,0.0,0.5,0.4,-0.5,5.0,0.0,6.0,3.0,8.0,Matches
219,Ross Barkley,eng ENG,MF,Luton Town,eng Premier League,29.0,1993.0,29.1,1218.0,1474.0,82.6,21602.0,6544.0,550.0,611.0,90.0,473.0,533.0,88.7,147.0,226.0,65.0,4.0,3.7,2.7,+0.3,44.0,138.0,27.0,1.0,163.0,Matches
220,Aymen Barkok,ma MAR,"MF,FW",Mainz 05,de Bundesliga,25.0,1998.0,3.6,118.0,184.0,64.1,1842.0,639.0,64.0,90.0,71.1,39.0,59.0,66.1,9.0,20.0,45.0,0.0,0.3,0.6,-0.3,5.0,11.0,4.0,1.0,16.0,Matches
221,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,eng Premier League,25.0,1997.0,8.9,208.0,272.0,76.5,2981.0,750.0,128.0,147.0,87.1,68.0,84.0,81.0,7.0,16.0,43.8,3.0,3.2,1.9,-0.2,13.0,11.0,17.0,3.0,34.0,Matches
222,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,23.0,2000.0,29.0,679.0,925.0,73.4,10846.0,3124.0,338.0,425.0,79.5,267.0,344.0,77.6,54.0,92.0,58.7,1.0,1.1,1.1,-0.1,20.0,74.0,12.0,2.0,93.0,Matches
223,Enzo Barrenechea,ar ARG,MF,Frosinone,it Serie A,22.0,2001.0,31.2,1624.0,1903.0,85.3,26904.0,7782.0,779.0,857.0,90.9,679.0,775.0,87.6,126.0,193.0,65.3,1.0,1.7,1.1,-0.7,25.0,160.0,8.0,0.0,155.0,Matches
224,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,es La Liga,21.0,2001.0,15.9,372.0,555.0,67.0,5706.0,1226.0,228.0,280.0,81.4,104.0,163.0,63.8,26.0,47.0,55.3,1.0,1.3,1.1,-0.3,13.0,15.0,15.0,4.0,39.0,Matches
225,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,20.0,2003.0,17.3,728.0,873.0,83.4,11531.0,3536.0,381.0,431.0,88.4,286.0,327.0,87.5,46.0,71.0,64.8,1.0,1.9,1.0,-0.9,16.0,75.0,16.0,0.0,98.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,,,,,,,,,,,,,,,,,,,,,A-xAG,,,,,,Matches
226,Davide Bartesaghi,it ITA,"DF,MF",Milan,it Serie A,17.0,2005.0,0.9,28.0,35.0,80.0,493.0,221.0,10.0,11.0,90.9,15.0,16.0,93.8,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Matches
227,Marc Bartra,es ESP,DF,Betis,es La Liga,32.0,1991.0,2.5,101.0,118.0,85.6,1910.0,620.0,39.0,42.0,92.9,48.0,52.0,92.3,13.0,21.0,61.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,Matches
228,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,26.0,1996.0,36.6,1516.0,1808.0,83.8,30369.0,9843.0,431.0,494.0,87.2,867.0,944.0,91.8,191.0,318.0,60.1,1.0,0.7,0.3,+0.3,2.0,71.0,1.0,0.0,96.0,Matches
229,Steven Baseya,fr FRA,DF,Strasbourg,fr Ligue 1,18.0,2005.0,0.1,11.0,12.0,91.7,203.0,78.0,3.0,3.0,100.0,8.0,8.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
